user_loc,fr_loc,distance
AL01,ITC1,1040.9437903596931
AL01,ITC2,1091.9000679241456
AL01,ITC3,936.9996993354673
AL01,ITC4,935.4030743272338
AL01,ITF1,491.87702702492885
AL01,ITF2,439.8773113183982
AL01,ITF3,460.8416395460187
AL01,ITF4,283.0204480750504
AL01,ITF5,353.7877869451051
AL01,ITF6,443.2580939061998
AL01,ITG1,683.5647795267097
AL01,ITG2,943.42690231562506
AL01,ITH1,862.2579281935066
AL01,ITH2,846.0049765787111
AL01,ITH3,769.2043516209746
AL01,ITH4,710.8857380184526
AL01,ITH5,766.7599951625255
AL01,ITI1,755.6196325726027
AL01,ITI2,622.0983215213084
AL01,ITI3,575.9498598894039
AL01,ITI4,595.833055230487
AL01,LI00,1008.3437625446265
AL01,LT01,1492.6254630832013
AL01,LT02,1529.9025134647625
AL01,LU00,1382.7124163308763
AL01,LV00,1707.0925341907955
AL01,ME00,113.81919068402898
AL01,MK00,148.5997150932237
AL01,MT00,813.5908034451369
AL01,NL11,1601.8806078928985
AL01,NL12,1631.037983843166
AL01,NL13,1575.011584914151
AL01,NL21,1546.708178623062
AL01,NL22,1548.4505499448328
AL01,NL23,1607.9346795106349
AL01,NL31,1590.1115425203966
AL01,NL32,1633.9231344148398
AL01,NL33,1620.181570606195
AL01,NL34,1616.75540316226
AL01,NL41,1552.6763783519891
AL01,NL42,1480.6431004308693
AL01,NO01,2107.8325400360272
AL01,NO02,2267.6774563204694
AL01,NO03,2094.471225411404
AL01,NO04,2106.51147200141
AL01,NO05,2322.1176853415755
AL01,NO06,2497.5676876577218
AL01,NO07,2943.082725149417
AL01,PL21,896.8392550785879
AL01,PL22,937.7416390876492
AL01,PL41,1175.8189880618843
AL01,PL42,1348.7831549956031
AL01,PL43,1191.4647776036547
AL01,PL51,1055.1585669734077
AL01,PL52,987.1093951719623
AL01,PL61,1247.908686873403
AL01,PL62,1336.307726009005
AL01,PL63,1382.6088624272948
AL01,PL71,1090.3838837323526
AL01,PL72,1001.3337182894331
AL01,PL81,1063.5011518776198
AL01,PL82,922.0694751467058
AL01,PL84,1286.5199966830537
AL01,PL91,1156.7370077966477
AL01,PL92,1161.0587386845116
AL01,PT11,2338.146425254022
AL01,PT15,2449.8907492653384
AL01,PT16,2373.7547986492177
AL01,PT17,2472.526334112776
AL01,PT18,2401.6528646956835
AL01,PT20,4092.2144276732542
AL01,PT30,3464.6548614643684
AL01,RO11,654.2796878888399
AL01,RO12,621.7424149185565
AL01,RO21,799.358164243139
AL01,RO22,733.7439180986513
AL01,RO31,577.2428557584267
AL01,RO32,582.1149048738788
AL01,RO41,434.257413913263
AL01,RO42,466.427111315733
AL01,RS11,314.38544169820926
AL01,RS12,395.7909731329862
AL01,RS21,236.06141684005425
AL01,RS22,255.3626094545512
AL01,SE11,1958.808510085959
AL01,SE12,1950.9340221347948
AL01,SE21,1745.5722266859277
AL01,SE22,1633.2397749131665
AL01,SE23,1871.7711823727398
AL01,SE31,2133.131331045045
AL01,SE32,2382.110892391997
AL01,SE33,2672.6421312365796
AL01,SI03,609.1565748550572
AL01,SI04,647.4428387581556
AL01,SK01,746.1702943488622
AL01,SK02,744.5030744879701
AL01,SK03,776.2438590627635
AL01,SK04,792.7106079732865
AL01,TR10,717.1270380858726
AL01,TR21,617.3428694985244
AL01,TR22,685.5675302977864
AL01,TR31,733.790765006855
AL01,TR32,888.8197540515421
AL01,TR33,857.6054520599715
AL01,TR41,838.3264440340823
AL01,TR42,878.7484087135034
AL01,TR51,1094.6961472521807
AL01,TR52,1176.5246619328452
AL01,TR61,1084.1625390194756
AL01,TR62,1389.539718930114
AL01,TR63,1524.8678956869755
AL01,TR71,1264.6244764070823
AL01,TR72,1409.0515006020094
AL01,TR81,1026.8564103676024
AL01,TR82,1171.5850384081232
AL01,TR83,1337.920873567445
AL01,TR90,1618.0832844080858
AL01,TRA1,1782.7799509160652
AL01,TRA2,1976.7006305663167
AL01,TRB1,1663.9434125775979
AL01,TRB2,2011.0760569992883
AL01,TRC1,1602.137059871603
AL01,TRC2,1754.811992267978
AL01,TRC3,1911.0831351654583
AL01,UKC1,2113.3983328543413
AL01,UKC2,2146.8358196802283
AL01,UKD1,2193.590387097812
AL01,UKD3,2092.7128929915802
AL01,UKD4,2127.698808018814
AL01,UKD6,2095.109457376585
AL01,UKD7,2125.05004386683
AL01,UKE1,2005.1910395400225
AL01,UKE2,2073.936321595841
AL01,UKE3,2040.38781444026
AL01,UKE4,2072.798948143123
AL01,UKF1,2013.3331277919567
AL01,UKF2,1963.778357512011
AL01,UKF3,1954.853005270324
AL01,UKG1,2011.9268350559619
AL01,UKG2,2054.5136593559037
AL01,UKG3,2017.3406288901601
AL01,UKH1,1861.2579863438157
AL01,UKH2,1890.549484130112
AL01,UKH3,1830.0958001179583
AL01,UKI3,1862.026393911443
AL01,UKI4,1854.982160221033
AL01,UKI5,1849.6707299221398
AL01,UKI6,1851.936952781081
AL01,UKI7,1872.634663906472
AL01,UKJ1,1925.222523509721
AL01,UKJ2,1846.2406296818633
AL01,UKJ3,1905.7267106464437
AL01,UKJ4,1800.162638893434
AL01,UKK1,1995.0357129372226
AL01,UKK2,1980.4641641182097
AL01,UKK3,2117.6834376270713
AL01,UKK4,2060.616585421038
AL01,UKL1,2110.681975506134
AL01,UKL2,2076.817808549094
AL01,UKM5,2341.60473102422
AL01,UKM6,2448.0362261987125
AL01,UKM7,2306.5803059143977
AL01,UKM8,2341.1836005703867
AL01,UKM9,2299.7336047978893
AL01,UKN0,2360.7444635894835
AL01,UKN1,2408.1618145922153
AL02,AL01,77.24654512090052
AL02,AL02,0
AL02,AL03,92.7223124172096
AL02,AT11,755.668808886704
AL02,AT12,838.3531594525672
AL02,AT13,823.2406595470667
AL02,AT21,771.481115836198
AL02,AT22,759.1036241565582
AL02,AT31,904.1143787588188
AL02,AT32,890.1402204777555
AL02,AT33,945.9127757888889
AL02,AT34,1055.0981907414011
AL02,BE10,1604.8157116693774
AL02,BE21,1617.0550225418986
AL02,BE22,1554.7143694557312
AL02,BE23,1646.8870009160746
AL02,BE24,1596.2522084038155
AL02,BE25,1685.9736883264286
AL02,BE31,1579.9045051009386
AL02,BE32,1602.9197311148057
AL02,BE33,1513.2995789154847
AL02,BE34,1474.0787546163415
AL02,BE35,1543.457117781738
AL02,BG31,418.6139946195207
AL02,BG32,561.5895644047733
AL02,BG33,660.7574205732437
AL02,BG34,567.5141937398265
AL02,BG41,321.1113701687044
AL02,BG42,430.55390983794683
AL02,CH01,1205.9780269334913
AL02,CH02,1183.0176770906014
AL02,CH03,1176.642751275663
AL02,CH04,1129.4990570580394
AL02,CH05,1083.8999610809112
AL02,CH06,1126.45080311894
AL02,CH07,1053.9335787368523
AL02,CY00,1349.521168309753
AL02,CZ01,1069.8495975612927
AL02,CZ02,1061.082213232557
AL02,CZ03,1019.9353792808951
AL02,CZ04,1138.489404609655
AL02,CZ05,1061.1880240681635
AL02,CZ06,926.2024203360937
AL02,CZ07,942.5651892811143
AL02,CZ08,966.2621867423976
AL02,DE11,1185.7002065874715
AL02,DE12,1246.49393616707
AL02,DE13,1195.1696204337143
AL02,DE14,1130.6400552155314
AL02,DE21,1009.6763646099614
AL02,DE22,1003.1152714693841
AL02,DE23,1087.2207755203376
AL02,DE24,1185.3656319667057
AL02,DE25,1148.8594414143547
AL02,DE26,1247.202021941932
AL02,DE27,1072.024600126218
AL02,DE30,1346.8555367009785
AL02,DE40,1335.8615403858078
AL02,DE50,1572.512674458969
AL02,DE60,1557.0980945367078
AL02,DE71,1312.9024246373738
AL02,DE72,1360.4596473419188
AL02,DE73,1356.7111751447205
AL02,DE80,1510.8898211395563
AL02,DE91,1406.7853147581845
AL02,DE92,1466.3712262752586
AL02,DE93,1539.4563228412405
AL02,DE94,1586.098460519405
AL02,DEA1,1509.8426372811289
AL02,DEA2,1469.630617036885
AL02,DEA3,1521.309425201108
AL02,DEA4,1469.669779623859
AL02,DEA5,1468.4233577286675
AL02,DEB1,1392.6523291391302
AL02,DEB2,1407.2681342499393
AL02,DEB3,1304.7429716271304
AL02,DEC0,1355.9674422285423
AL02,DED2,1193.5924816227234
AL02,DED4,1191.68743725306
AL02,DED5,1257.5953293036998
AL02,DEE0,1335.09325049688
AL02,DEF0,1609.1619209580897
AL02,DEG0,1273.4319181511255
AL02,DK01,1699.6879740103627
AL02,DK02,1681.2553432969207
AL02,DK03,1742.0031921202872
AL02,DK04,1828.4361105050932
AL02,DK05,1907.618487967092
AL02,EE00,2008.400159941145
AL02,EL30,503.07967192254796
AL02,EL41,616.6385747268819
AL02,EL42,806.6206017435685
AL02,EL43,794.7889031799967
AL02,EL51,435.97584929287456
AL02,EL52,265.74092846763983
AL02,EL53,167.27523272136784
AL02,EL54,201.4236916308299
AL02,EL61,280.18651804747395
AL02,EL62,255.57038681543176
AL02,EL63,370.88495211274403
AL02,EL64,397.1900081654495
AL02,EL65,477.79862263305176
AL02,ES11,2328.012642735326
AL02,ES12,2140.1282136865007
AL02,ES13,1984.3607830216029
AL02,ES21,1866.836322851053
AL02,ES22,1786.929552435145
AL02,ES23,1859.538035414511
AL02,ES24,1733.357037081678
AL02,ES30,1987.4221542459222
AL02,ES41,2069.8383645388635
AL02,ES42,1973.0234329984328
AL02,ES43,2225.382651430488
AL02,ES51,1505.6534425470318
AL02,ES52,1760.6652588783143
AL02,ES53,1459.104474633867
AL02,ES61,2168.829210932522
AL02,ES62,1865.3171358779146
AL02,ES63,2268.683515997651
AL02,ES64,2097.770173691929
AL02,ES70,3550.148555739362
AL02,FI19,2343.90543487509
AL02,FI1B,2156.8670728298853
AL02,FI1C,2210.8764931826377
AL02,FI1D,2613.8573272371564
AL02,FI20,2112.2645940798434
AL02,FR10,1615.0742278455373
AL02,FRB0,1615.8165332705037
AL02,FRC1,1412.573118433075
AL02,FRC2,1278.6189487857534
AL02,FRD1,1819.5893478061741
AL02,FRD2,1732.3272478263484
AL02,FRE1,1666.0071311979057
AL02,FRE2,1632.165733228923
AL02,FRF1,1262.020295167419
AL02,FRF2,1479.4158382704065
AL02,FRF3,1360.3194726594907
AL02,FRG0,1797.5776015502531
AL02,FRH0,1947.9939777620032
AL02,FRI1,1693.3157325186733
AL02,FRI2,1560.2375915980945
AL02,FRI3,1699.9382285860024
AL02,FRJ1,1388.6360274969263
AL02,FRJ2,1543.984179979596
AL02,FRK1,1436.998478166127
AL02,FRK2,1285.8901064732088
AL02,FRL0,1187.839626847506
AL02,FRM0,905.1154109798042
AL02,FRY1,8133.409055265315
AL02,FRY2,8195.092951655914
AL02,FRY3,8315.049454308808
AL02,FRY4,7821.518735750247
AL02,FRY5,6526.046628307421
AL02,HR03,478.2320374287814
AL02,HR04,566.8444570887692
AL02,HU11,697.8653414605749
AL02,HU12,691.3780317809706
AL02,HU21,687.6477821335085
AL02,HU22,709.0774470504454
AL02,HU23,584.3289133075457
AL02,HU31,764.1069554935251
AL02,HU32,722.5770399939131
AL02,HU33,596.3927120446491
AL02,IE04,2539.675586051427
AL02,IE05,2469.3038890733287
AL02,IE06,2391.2743535049253
AL02,IS00,3648.5263958258256
AL02,ITC1,1073.1649952996188
AL02,ITC2,1127.4007646244509
AL02,ITC3,965.3092689671935
AL02,ITC4,973.6874679469687
AL02,ITF1,506.2120615353784
AL02,ITF2,444.6448101410816
AL02,ITF3,451.1929404507955
AL02,ITF4,259.3907169305514
AL02,ITF5,331.0384793717165
AL02,ITF6,396.22385974862004
AL02,ITG1,637.97054555394
AL02,ITG2,935.0344687613256
AL02,ITH1,911.9650765428886
AL02,ITH2,891.6937230712853
AL02,ITH3,813.0276717508947
AL02,ITH4,762.2325305173928
AL02,ITH5,800.3783998627689
AL02,ITI1,781.6647233156978
AL02,ITI2,643.2953542123056
AL02,ITI3,603.1096640018105
AL02,ITI4,603.5789202341015
AL02,LI00,1055.6782423809832
AL02,LT01,1562.46774374548
AL02,LT02,1600.8967962191464
AL02,LU00,1434.4435756055564
AL02,LV00,1777.8331569896843
AL02,ME00,179.32228464812624
AL02,MK00,155.79747191217592
AL02,MT00,758.1702134682924
AL02,NL11,1662.968479219919
AL02,NL12,1690.9108328836576
AL02,NL13,1635.3197691129087
AL02,NL21,1605.956600835138
AL02,NL22,1606.1164344120195
AL02,NL23,1666.216815856572
AL02,NL31,1647.0203406892567
AL02,NL32,1691.3390478683673
AL02,NL33,1675.8759599632658
AL02,NL34,1670.6591502535068
AL02,NL41,1608.269585576208
AL02,NL42,1535.9782651007506
AL02,NO01,2178.0677969603157
AL02,NO02,2338.127696894666
AL02,NO03,2164.159783191141
AL02,NO04,2174.187582897157
AL02,NO05,2390.927877856215
AL02,NO06,2568.756184972675
AL02,NO07,3015.015145516588
AL02,PL21,968.697497908487
AL02,PL22,1009.5766892778134
AL02,PL41,1247.1052517879086
AL02,PL42,1419.1736129586382
AL02,PL43,1261.3187735408844
AL02,PL51,1125.5899362369894
AL02,PL52,1058.5001955093628
AL02,PL61,1319.765725674083
AL02,PL62,1408.15187773261
AL02,PL63,1454.4743704485356
AL02,PL71,1162.3463560876194
AL02,PL72,1073.1022858161823
AL02,PL81,1133.9689663217807
AL02,PL82,992.7933322204109
AL02,PL84,1357.4054825089877
AL02,PL91,1228.4796260264907
AL02,PL92,1232.7460153957356
AL02,PT11,2350.1674442310987
AL02,PT15,2448.517982093394
AL02,PT16,2381.784236556542
AL02,PT17,2476.6274904121196
AL02,PT18,2404.7679144675035
AL02,PT20,4108.14001516645
AL02,PT30,3453.233426328884
AL02,RO11,720.1617710834274
AL02,RO12,678.7290432289842
AL02,RO21,853.8925066866154
AL02,RO22,773.3196132240626
AL02,RO31,620.2613735744312
AL02,RO32,621.316493681442
AL02,RO41,486.10133152673524
AL02,RO42,533.878027275405
AL02,RS11,385.37210543472463
AL02,RS12,467.1314936735351
AL02,RS21,305.0129142420986
AL02,RS22,309.577983686149
AL02,SE11,2030.8090419983878
AL02,SE12,2022.6353287840864
AL02,SE21,1816.7813776574906
AL02,SE22,1703.5572075745883
AL02,SE23,1942.253289636847
AL02,SE31,2204.589474893669
AL02,SE32,2453.994202540368
AL02,SE33,2744.681908971184
AL02,SI03,669.5836707582997
AL02,SI04,702.7764552023893
AL02,SK01,815.8385710096738
AL02,SK02,815.4428982181497
AL02,SK03,848.1270374011165
AL02,SK04,863.9914035074036
AL02,TR10,715.0029776598097
AL02,TR21,614.4915308422703
AL02,TR22,665.3905554347239
AL02,TR31,700.3296710452389
AL02,TR32,853.3246562802984
AL02,TR33,833.1794398214618
AL02,TR41,825.597625728467
AL02,TR42,874.3425640869859
AL02,TR51,1085.298681572588
AL02,TR52,1155.0982116743928
AL02,TR61,1052.7341487573253
AL02,TR62,1367.781865388069
AL02,TR63,1506.3627330237437
AL02,TR71,1251.2881843456871
AL02,TR72,1399.781763596634
AL02,TR81,1028.2458170690468
AL02,TR82,1174.30936269699
AL02,TR83,1338.8483485566837
AL02,TR90,1620.828270554912
AL02,TRA1,1782.9829656797604
AL02,TRA2,1978.6704923973916
AL02,TRB1,1656.5042643207182
AL02,TRB2,2006.877602912882
AL02,TRC1,1586.0425976649735
AL02,TRC2,1743.4395041438027
AL02,TRC3,1901.908913228253
AL02,UKC1,2169.2798810624813
AL02,UKC2,2203.3653022700787
AL02,UKD1,2248.2784173657747
AL02,UKD3,2145.560493255573
AL02,UKD4,2181.0651620833696
AL02,UKD6,2147.1673169839887
AL02,UKD7,2177.2677774583726
AL02,UKE1,2060.02804129217
AL02,UKE2,2128.9117711103218
AL02,UKE3,2093.8547231676407
AL02,UKE4,2126.7030807598003
AL02,UKF1,2066.0093058595808
AL02,UKF2,2015.3617459496072
AL02,UKF3,2008.426299932379
AL02,UKG1,2062.0127670955544
AL02,UKG2,2105.7895769121205
AL02,UKG3,2068.1046066941003
AL02,UKH1,1914.1792638551842
AL02,UKH2,1941.1210571401098
AL02,UKH3,1880.9631464968807
AL02,UKI3,1911.6227724767393
AL02,UKI4,1904.728649638698
AL02,UKI5,1899.6554397551033
AL02,UKI6,1901.2376284039174
AL02,UKI7,1922.220764438319
AL02,UKJ1,1974.5795868452956
AL02,UKJ2,1894.5481628448524
AL02,UKJ3,1952.8969796820347
AL02,UKJ4,1849.8503767626562
AL02,UKK1,2043.0091754230982
AL02,UKK2,2026.5537178524196
AL02,UKK3,2160.7864953015455
AL02,UKK4,2104.8832925663046
AL02,UKL1,2158.803900124306
AL02,UKL2,2125.3340953292773
AL02,UKM5,2401.1861458524313
AL02,UKM6,2506.982611798322
AL02,UKM7,2363.979323487706
AL02,UKM8,2397.5034279364722
AL02,UKM9,2355.469672773378
AL02,UKN0,2413.169428766439
AL02,UKN1,2460.783090536156
AL03,AL01,162.9547372418789
AL03,AL02,92.7223124172096
AL03,AL03,0
AL03,AT11,842.6480615445296
AL03,AT12,925.012188325241
AL03,AT13,910.4494170208985
AL03,AT21,852.0958812251289
AL03,AT22,843.6930092449439
AL03,AT31,987.8912749477062
AL03,AT32,971.0955789443092
AL03,AT33,1022.0880899555293
AL03,AT34,1127.7773285532396
AL03,BE10,1679.8310228326834
AL03,BE21,1693.319281562895
AL03,BE22,1631.3382903062725
AL03,BE23,1721.7688227591382
AL03,BE24,1671.5661378630316
AL03,BE25,1760.0144923332357
AL03,BE31,1654.7708785689374
AL03,BE32,1676.657788157576
AL03,BE33,1589.2516592678267
AL03,BE34,1548.1328906880767
AL03,BE35,1617.8369650169814
AL03,BG31,465.2221673954437
AL03,BG32,593.9162657232978
AL03,BG33,684.8708592095608
AL03,BG34,583.4649898108038
AL03,BG41,356.97254062020187
AL03,BG42,445.0769345811811
AL03,CH01,1268.3668705513319
AL03,CH02,1249.2838074961805
AL03,CH03,1246.13475740083
AL03,CH04,1200.1499206579053
AL03,CH05,1155.0228136414576
AL03,CH06,1195.070222889575
AL03,CH07,1119.7214442144973
AL03,CY00,1298.9514376302282
AL03,CZ01,1156.333141600556
AL03,CZ02,1147.6036522983723
AL03,CZ03,1105.154224099211
AL03,CZ04,1224.3003961046927
AL03,CZ05,1148.6643021370392
AL03,CZ06,1013.7062318369101
AL03,CZ07,1030.4160970558166
AL03,CZ08,1054.007903286718
AL03,DE11,1262.807659994258
AL03,DE12,1322.8690216105015
AL03,DE13,1267.2955724016883
AL03,DE14,1205.6884691058453
AL03,DE21,1088.9838859680822
AL03,DE22,1085.6976602001505
AL03,DE23,1169.8430029584215
AL03,DE24,1268.0704337308764
AL03,DE25,1229.8605987623434
AL03,DE26,1327.5987746057467
AL03,DE27,1149.187628054293
AL03,DE30,1433.780941505027
AL03,DE40,1422.7438193785388
AL03,DE50,1656.4066663198648
AL03,DE60,1642.350891260847
AL03,DE71,1391.8139687214803
AL03,DE72,1440.490161636057
AL03,DE73,1438.6467536798598
AL03,DE80,1597.758213418981
AL03,DE91,1491.0032523693765
AL03,DE92,1550.137197363888
AL03,DE93,1624.1860387328586
AL03,DE94,1668.8467568820672
AL03,DEA1,1588.9264138934527
AL03,DEA2,1547.8320719090855
AL03,DEA3,1601.9674166851723
AL03,DEA4,1552.0440582926553
AL03,DEA5,1548.7082543960505
AL03,DEB1,1470.5106619620205
AL03,DEB2,1482.91703320003
AL03,DEB3,1381.4248503188949
AL03,DEC0,1430.4622565608813
AL03,DED2,1280.2724916638565
AL03,DED4,1277.0077583855166
AL03,DED5,1343.1754076234417
AL03,DEE0,1420.3752150127148
AL03,DEF0,1694.76727310712
AL03,DEG0,1357.079480493627
AL03,DK01,1787.1077910133934
AL03,DK02,1768.3899628137306
AL03,DK03,1828.1111497971408
AL03,DK04,1914.986445654159
AL03,DK05,1994.4612128783729
AL03,EE00,2090.8540678628574
AL03,EL30,431.83104397289037
AL03,EL41,570.3656860007044
AL03,EL42,742.7885360163511
AL03,EL43,716.0926420002525
AL03,EL51,429.75004273162705
AL03,EL52,247.51326307379006
AL03,EL53,125.78810883988626
AL03,EL54,121.44507454225729
AL03,EL61,218.43289018229854
AL03,EL62,172.46936540517362
AL03,EL63,288.24695068995095
AL03,EL64,328.4983694223746
AL03,EL65,396.7991065416851
AL03,ES11,2365.588566742195
AL03,ES12,2179.5981904661935
AL03,ES13,2023.1182327786435
AL03,ES21,1905.6153026872387
AL03,ES22,1823.4615640764328
AL03,ES23,1893.856505080877
AL03,ES24,1764.265663006019
AL03,ES30,2013.8678041395933
AL03,ES41,2102.6332503433737
AL03,ES42,1994.624770264323
AL03,ES43,2247.2345210869476
AL03,ES51,1536.407151552223
AL03,ES52,1778.1902576863654
AL03,ES53,1475.6512084314702
AL03,ES61,2181.564641266616
AL03,ES62,1877.7674989365873
AL03,ES63,2276.4251257000465
AL03,ES64,2099.603576057893
AL03,ES70,3548.557013362326
AL03,FI19,2428.4900670465468
AL03,FI1B,2240.4427760097074
AL03,FI1C,2294.525122126053
AL03,FI1D,2696.847757887257
AL03,FI20,2198.397568637554
AL03,FR10,1681.5978830113365
AL03,FRB0,1676.9999759000184
AL03,FRC1,1475.2295314267787
AL03,FRC2,1344.1199696176377
AL03,FRD1,1883.783554551035
AL03,FRD2,1799.6925233346403
AL03,FRE1,1738.3467658332538
AL03,FRE2,1701.7654604914585
AL03,FRF1,1333.9689950443765
AL03,FRF2,1548.5395474400075
AL03,FRF3,1432.2445882013026
AL03,FRG0,1855.7058881802525
AL03,FRH0,2007.5948806457498
AL03,FRI1,1738.437592618768
AL03,FRI2,1613.1817295787778
AL03,FRI3,1753.2820043132708
AL03,FRJ1,1430.512573425648
AL03,FRJ2,1585.776204469424
AL03,FRK1,1491.164498018827
AL03,FRK2,1341.9923507134356
AL03,FRL0,1233.080505148469
AL03,FRM0,940.036737204343
AL03,FRY1,8160.517303183692
AL03,FRY2,8219.721199861136
AL03,FRY3,8319.190826716029
AL03,FRY4,7741.892366718178
AL03,FRY5,6443.008387260598
AL03,HR03,554.5115199079747
AL03,HR04,651.9165795278984
AL03,HU11,785.3724905609926
AL03,HU12,778.6898709255025
AL03,HU21,775.5061386868423
AL03,HU22,796.3544157964454
AL03,HU23,672.15262445835
AL03,HU31,849.3828786460923
AL03,HU32,805.695658848827
AL03,HU33,682.2857999263234
AL03,IE04,2611.6384030645436
AL03,IE05,2537.5613681464056
