freq,unit,direct,na_item,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,BAL,B5N,PL91	: 	: 	: 	: 	: 	17243.65 	19817.27 	19097.32 	16852.21 	17233.59 	20508.58 	23211.07 	26198.69 	30562.06 	26791.52 	29022.2 	30019.9 	31729.16 	31991.42 	34194.73 	35056.52 	35133.39 	38338.27 	41401.15 	44347.78 	45280.67 	45441.38 	: 
A,MIO_EUR,BAL,B5N,PL92	: 	: 	: 	: 	: 	7737.89 	8925.68 	8581.17 	7417.04 	7800.65 	9218 	10264.12 	11588.66 	13483.39 	11808.62 	13937.22 	14591.32 	15114.58 	15348.18 	15842.32 	16266.34 	16349.93 	17975.33 	18867.77 	19569.99 	19909.52 	20160.34 	: 
A,MIO_EUR,BAL,B5N,PT	63758.92 	67364.7 	70449.73 	75678.28 	81589.64 	86871.56 	90664.46 	95229.96 	97969.03 	100910.16 	105575.11 	108184.32 	113068.17 	117379.51 	116447.44 	116896.68 	113242.39 	108958.5 	110408.76 	110276.44 	112958.06 	116256.3 	119594.95 	125055.83 	130755.31 	126587.4 	134077.53 	: 
A,MIO_EUR,BAL,B5N,PT1	61061.33 	64488.83 	67432.16 	72418.32 	78086.13 	83160.31 	86693.6 	90956.04 	93457.86 	96102.85 	100524.06 	102932.25 	107650.24 	111602.78 	110829.08 	111350.87 	107913.69 	103862.01 	105291.13 	105225.64 	107848.38 	111050.42 	114246.05 	119495.58 	124936.6 	120969.97 	128090.59 	: 
A,MIO_EUR,BAL,B5N,PT11	19615.51 	20730.42 	21591 	22826.67 	24533.84 	25799.62 	27037.62 	27917.21 	28359.67 	29318.99 	30431.92 	31201.67 	32737.77 	33909.02 	33777.8 	34247.83 	33147.45 	31999.43 	32659.58 	33040.95 	34168.77 	35246.13 	36184.83 	38026.09 	39654.07 	38836.76 	41104.43 	: 
A,MIO_EUR,BAL,B5N,PT15	2583.9 	2695.35 	2837.06 	3015.74 	3279.13 	3607 	3914.69 	4161.82 	4406.86 	4542.15 	4819.47 	5004.71 	5279.79 	5451.85 	5377.96 	5165.91 	4965.82 	4848.8 	4882.47 	5055.57 	5198.36 	5560.94 	5885.55 	6157.12 	6436.91 	5800.64 	6300.32 	: 
A,MIO_EUR,BAL,B5N,PT16	12870.24 	13645.09 	13957.34 	14947.69 	16146.09 	17258.48 	18115.93 	18865.45 	19667.04 	20304.21 	21151.74 	21542.68 	22235.44 	22955.17 	22915.65 	22673.38 	22034.81 	21250.82 	21484.13 	21534.58 	22173.86 	22638.86 	23262.8 	24168.42 	25088.4 	24666.66 	26207.22 	: 
A,MIO_EUR,BAL,B5N,PT17	21374.34 	22506.99 	23973.75 	26299.47 	28594.19 	30477.89 	31486.36 	33337.86 	34209.81 	34867.83 	36924.44 	37843.52 	39863.49 	41523 	40924.98 	41624.41 	40318.88 	38687.35 	39143.87 	38401.54 	38927.86 	40020.52 	41195.19 	43040.04 	45351.77 	43340.45 	45635.66 	: 
A,MIO_EUR,BAL,B5N,PT18	4617.34 	4910.98 	5073.02 	5328.76 	5532.87 	6017.32 	6139 	6673.7 	6814.48 	7069.67 	7196.5 	7339.67 	7533.75 	7763.74 	7832.7 	7639.33 	7446.74 	7075.62 	7121.09 	7193.01 	7379.52 	7583.97 	7717.69 	8103.91 	8405.46 	8325.46 	8842.96 	: 
A,MIO_EUR,BAL,B5N,PT2	1290.1 	1378.62 	1431.64 	1550.94 	1682.51 	1804.23 	1944.47 	2096.17 	2144.2 	2278.57 	2409.98 	2546.95 	2614.57 	2764.71 	2741.39 	2757.97 	2667.63 	2551.62 	2584.58 	2572.38 	2615.44 	2667.66 	2729.31 	2824.12 	2946.47 	2882.52 	3064.11 	: 
A,MIO_EUR,BAL,B5N,PT20	1290.1 	1378.62 	1431.64 	1550.94 	1682.51 	1804.23 	1944.47 	2096.17 	2144.2 	2278.57 	2409.98 	2546.95 	2614.57 	2764.71 	2741.39 	2757.97 	2667.63 	2551.62 	2584.58 	2572.38 	2615.44 	2667.66 	2729.31 	2824.12 	2946.47 	2882.52 	3064.11 	: 
A,MIO_EUR,BAL,B5N,PT3	1407.48 	1497.25 	1585.93 	1709.02 	1821 	1907.02 	2026.4 	2177.75 	2366.97 	2528.74 	2641.07 	2705.12 	2803.37 	3012.02 	2876.97 	2787.85 	2661.07 	2544.87 	2533.04 	2478.43 	2494.24 	2538.21 	2619.59 	2736.14 	2872.23 	2734.9 	2922.83 	: 
A,MIO_EUR,BAL,B5N,PT30	1407.48 	1497.25 	1585.93 	1709.02 	1821 	1907.02 	2026.4 	2177.75 	2366.97 	2528.74 	2641.07 	2705.12 	2803.37 	3012.02 	2876.97 	2787.85 	2661.07 	2544.87 	2533.04 	2478.43 	2494.24 	2538.21 	2619.59 	2736.14 	2872.23 	2734.9 	2922.83 	: 
A,MIO_EUR,BAL,B5N,RO	: 	: 	: 	: 	: 	26907.64 	31209.66 	28948 	27640.92 	34809.63 	46780.5 	56210.56 	68176.15 	76651.55 	62419.68 	66953.35 	68672.5 	65977.75 	75231.05 	77716.81 	82916.32 	92949.49 	106067.46 	115170.76 	128934.44 	128111.75 	136198.52 	: 
A,MIO_EUR,BAL,B5N,RO1	: 	: 	: 	: 	: 	6373.66 	7477.77 	7090.31 	6816.54 	8628.34 	11196.75 	13119.49 	16109.71 	17449.38 	14018.59 	15205.26 	15598.48 	15298.77 	17451.01 	18494 	19732.49 	22530.95 	25805.22 	28165.58 	31325.37 	31598.06 	33748.9 	: 
A,MIO_EUR,BAL,B5N,RO11	: 	: 	: 	: 	: 	3154.35 	3763.38 	3552.45 	3412.4 	4386.52 	5716.92 	6723.33 	8161.87 	8705.43 	7111.02 	7592.71 	7847.99 	7821.97 	8846.46 	9541.98 	10156.34 	11638.96 	13495.73 	14699.63 	16485.2 	16604.96 	17765.25 	: 
A,MIO_EUR,BAL,B5N,RO12	: 	: 	: 	: 	: 	3219.31 	3714.39 	3537.86 	3404.14 	4241.82 	5479.83 	6396.17 	7947.83 	8743.96 	6907.57 	7612.55 	7750.49 	7476.8 	8604.55 	8952.02 	9576.15 	10891.99 	12309.49 	13465.94 	14840.18 	14993.1 	15983.64 	: 
A,MIO_EUR,BAL,B5N,RO2	: 	: 	: 	: 	: 	6483.79 	7314.8 	6678.09 	6629.25 	7996.47 	10515.48 	12789.86 	15311.49 	16713.25 	14030.92 	14630.67 	14895.73 	14493.6 	16326.41 	16609.67 	17333.99 	19202.72 	22040.45 	23975.93 	26787.24 	26331.85 	28569.38 	: 
A,MIO_EUR,BAL,B5N,RO21	: 	: 	: 	: 	: 	3238.73 	3606.48 	3350.18 	3370.35 	4009.63 	5264.96 	6346.79 	7698.2 	8371.45 	6923.3 	7204.12 	7270.13 	7354.99 	8025.59 	8275.58 	8624.67 	9782.29 	11296.93 	12311.5 	13905.42 	14009.05 	15042.87 	: 
A,MIO_EUR,BAL,B5N,RO22	: 	: 	: 	: 	: 	3245.06 	3708.31 	3327.92 	3258.9 	3986.84 	5250.52 	6443.08 	7613.29 	8341.8 	7107.62 	7426.55 	7625.6 	7138.61 	8300.81 	8334.09 	8709.32 	9420.43 	10743.52 	11664.44 	12881.82 	12322.8 	13526.51 	: 
A,MIO_EUR,BAL,B5N,RO3	: 	: 	: 	: 	: 	8611.23 	10714.58 	9856.38 	8709.97 	11627.2 	16384.05 	19769.13 	24071.36 	28759.08 	22947 	25025.66 	25730.15 	23878.21 	27603.69 	28535.72 	31035.9 	34779.69 	39738.82 	42954.47 	48169.03 	48112.29 	50982.2 	: 
A,MIO_EUR,BAL,B5N,RO31	: 	: 	: 	: 	: 	2979.27 	3743.5 	3373.46 	3525.42 	3971.88 	5263.25 	6219.95 	7571.04 	8119.64 	7661.34 	7847.32 	8144.98 	8128.65 	9148.88 	9291.65 	9870.5 	10737.84 	12313.74 	13183.93 	14598 	14311.23 	15232.53 	: 
A,MIO_EUR,BAL,B5N,RO32	: 	: 	: 	: 	: 	5631.96 	6971.08 	6482.92 	5184.55 	7655.32 	11120.8 	13549.18 	16500.31 	20639.44 	15285.67 	17178.34 	17585.17 	15749.56 	18454.81 	19244.08 	21165.41 	24041.84 	27425.08 	29770.54 	33571.03 	33801.07 	35749.67 	: 
A,MIO_EUR,BAL,B5N,RO4	: 	: 	: 	: 	: 	5438.96 	5702.51 	5323.22 	5485.15 	6557.62 	8684.22 	10532.08 	12683.6 	13729.84 	11423.17 	12091.76 	12448.14 	12307.18 	13849.94 	14077.41 	14813.94 	16436.13 	18482.97 	20074.77 	22652.79 	22069.55 	22898.04 	: 
A,MIO_EUR,BAL,B5N,RO41	: 	: 	: 	: 	: 	2342.49 	2548.61 	2315.45 	2527.44 	2711.31 	3582.09 	4293.72 	5247.83 	5663.99 	5033.33 	5184.49 	5327.36 	5228.38 	5766.73 	5863.81 	5986.17 	6567.92 	7695.32 	8433.46 	9598.66 	9499.91 	9694.69 	: 
A,MIO_EUR,BAL,B5N,RO42	: 	: 	: 	: 	: 	3096.48 	3153.9 	3007.77 	2957.71 	3846.31 	5102.13 	6238.36 	7435.76 	8065.85 	6389.84 	6907.27 	7120.78 	7078.8 	8083.21 	8213.61 	8827.78 	9868.21 	10787.65 	11641.32 	13054.14 	12569.64 	13203.35 	: 
A,MIO_EUR,BAL,B5N,SE	: 	: 	: 	: 	: 	152327.36 	145918.68 	151480.17 	156014.12 	160180.84 	164696.52 	177325.6 	192883 	194470.73 	173518.38 	205851.34 	227932.18 	242919.31 	251086.05 	251434.52 	255006.04 	266153.83 	271541.55 	268860.43 	272503.23 	271052.19 	301592.08 	: 
A,MIO_EUR,BAL,B5N,SE1	: 	: 	: 	: 	: 	63983.21 	61726.72 	63612.88 	64989.26 	66442.69 	68312.9 	73638.05 	80110.38 	80984.48 	72827.45 	86863.37 	96031.14 	102936.2 	107503.09 	107730.18 	110020.63 	115233.45 	117894.88 	117233.46 	119219.29 	119256.64 	133212.63 	: 
A,MIO_EUR,BAL,B5N,SE11	: 	: 	: 	: 	: 	39885.85 	38703.85 	39578.87 	40232.02 	41071.53 	42454.27 	46065.87 	50175.03 	50852.61 	46000.13 	55110.99 	60758.82 	65415.72 	68871.64 	69072.59 	70872.4 	74561.25 	76387.48 	76143.03 	77669.3 	78030.39 	87628.44 	: 
A,MIO_EUR,BAL,B5N,SE12	: 	: 	: 	: 	: 	24097.36 	23022.87 	24034.01 	24757.24 	25371.15 	25858.63 	27572.18 	29935.35 	30131.87 	26827.32 	31752.38 	35272.32 	37520.48 	38631.45 	38657.58 	39148.23 	40672.2 	41507.41 	41090.43 	41549.99 	41226.25 	45584.19 	: 
A,MIO_EUR,BAL,B5N,SE2	: 	: 	: 	: 	: 	62764.17 	60096.6 	62908.82 	65197.17 	67176.77 	69213.23 	74697.12 	81286.04 	81854.56 	72688.55 	85983.56 	95345.3 	101179.44 	103957.23 	104184.43 	105521.36 	110300.77 	112502.62 	111199.52 	112718.93 	111723.26 	124184.6 	: 
A,MIO_EUR,BAL,B5N,SE21	: 	: 	: 	: 	: 	12583.72 	11938.39 	12440.21 	12869.51 	13271.37 	13589.34 	14566.58 	15775.72 	15768.05 	13747.68 	16311.74 	18091.21 	19090.2 	19402.88 	19459.8 	19607.31 	20469.01 	20853.86 	20450.66 	20608.46 	20140.87 	22462.62 	: 
A,MIO_EUR,BAL,B5N,SE22	: 	: 	: 	: 	: 	20657.3 	19822.58 	20699.92 	21410.75 	22023.06 	22763.03 	24740.66 	27111.27 	27294.08 	24612.54 	29004.44 	31957.96 	33759.26 	34824.13 	34787.05 	35286.36 	36673.11 	37456.38 	37006.13 	37640.78 	37917.27 	42216.43 	: 
A,MIO_EUR,BAL,B5N,SE23	: 	: 	: 	: 	: 	29523.16 	28335.62 	29768.7 	30916.9 	31882.34 	32860.85 	35389.87 	38399.04 	38792.43 	34328.33 	40667.38 	45296.13 	48329.98 	49730.22 	49937.57 	50627.68 	53158.66 	54192.38 	53742.73 	54469.69 	53665.12 	59505.54 	: 
A,MIO_EUR,BAL,B5N,SE3	: 	: 	: 	: 	: 	25579.97 	24095.36 	24958.47 	25827.69 	26561.38 	27170.39 	28990.43 	31486.58 	31631.69 	28002.37 	33004.41 	36555.74 	38803.67 	39625.73 	39519.92 	39464.05 	40619.61 	41144.05 	40427.46 	40565.01 	40072.3 	44194.85 	: 
A,MIO_EUR,BAL,B5N,SE31	: 	: 	: 	: 	: 	12364.66 	11647.63 	12096.69 	12534.36 	12839.23 	13121.89 	13996.15 	15194.86 	15277.69 	13495.78 	15884.68 	17566.39 	18573.09 	18916.95 	18796.5 	18804.08 	19370.15 	19687.08 	19340.44 	19363.02 	18987.49 	20959.74 	: 
A,MIO_EUR,BAL,B5N,SE32	: 	: 	: 	: 	: 	5668.43 	5365.8 	5552.83 	5724.56 	5879.79 	6002.56 	6390.15 	6930.63 	6896.58 	6107.11 	7141.75 	7866.07 	8348.13 	8495.17 	8494.04 	8486.98 	8744.63 	8828.24 	8684.38 	8678.26 	8566.21 	9386.29 	: 
A,MIO_EUR,BAL,B5N,SE33	: 	: 	: 	: 	: 	7546.89 	7081.93 	7308.95 	7568.77 	7842.36 	8045.94 	8604.12 	9361.09 	9457.42 	8399.49 	9977.98 	11123.28 	11882.45 	12213.6 	12229.38 	12172.98 	12504.83 	12628.72 	12402.64 	12523.73 	12518.6 	13848.81 	: 
A,MIO_EUR,BAL,B5N,SI	: 	: 	: 	: 	: 	14299.94 	15216.58 	16334.48 	16742.25 	17539.78 	18494.01 	19670.12 	21650.95 	23679.89 	23299.35 	23227.73 	23211.79 	22587.27 	22377.09 	22853.17 	23536.16 	24715.95 	26183.59 	28226.61 	30009.42 	30373.14 	33075.15 	35909.73 
A,MIO_EUR,BAL,B5N,SI0	: 	: 	: 	: 	: 	14299.94 	15216.58 	16334.48 	16742.25 	17539.78 	18494.01 	19670.12 	21650.95 	23679.89 	23299.35 	23227.73 	23211.79 	22587.27 	22377.09 	22853.17 	23536.16 	24715.95 	26183.59 	28226.61 	30009.42 	30373.14 	33075.15 	35909.73 
A,MIO_EUR,BAL,B5N,SI03	: 	: 	: 	: 	: 	6931.7 	7380.87 	7989.67 	8137.58 	8535.54 	9113.93 	9857.22 	10878.79 	11675.7 	11518.84 	11486.9 	11500.53 	11336.22 	11317.38 	11543.94 	11902.25 	12473.05 	13168.36 	14245.19 	15051.81 	15361.2 	16678.99 	17971.26 
A,MIO_EUR,BAL,B5N,SI04	: 	: 	: 	: 	: 	7368.24 	7835.71 	8344.81 	8604.67 	9004.24 	9380.08 	9812.9 	10772.16 	12004.19 	11780.5 	11740.83 	11711.25 	11251.05 	11059.71 	11309.23 	11633.92 	12242.91 	13015.24 	13981.42 	14957.62 	15011.94 	16396.15 	17938.47 
A,MIO_EUR,BAL,B5N,SK	: 	: 	: 	: 	: 	13302.96 	14108.24 	15488.96 	17214.99 	19432.3 	22108.79 	25401.76 	31403.34 	37922.54 	38438.64 	39210.98 	39953.4 	41220.75 	41937.71 	43163.15 	44479.19 	46789.09 	49477.74 	53653.76 	56861.4 	56687.03 	60128.24 	: 
A,MIO_EUR,BAL,B5N,SK0	: 	: 	: 	: 	: 	13302.96 	14108.24 	15488.96 	17214.99 	19432.3 	22108.79 	25401.76 	31403.34 	37922.54 	38438.64 	39210.98 	39953.4 	41220.75 	41937.71 	43163.15 	44479.19 	46789.09 	49477.74 	53653.76 	56861.4 	56687.03 	60128.24 	: 
A,MIO_EUR,BAL,B5N,SK01	: 	: 	: 	: 	: 	2697.11 	2923.93 	3115.72 	3514.44 	4238.34 	4662.16 	5344.35 	6600.92 	8240.4 	7931.87 	8730.79 	8994.38 	9476.23 	9429.85 	9843.75 	10066.83 	10646.33 	11938.49 	12103.33 	12448.17 	12889.61 	13602.55 	: 
A,MIO_EUR,BAL,B5N,SK02	: 	: 	: 	: 	: 	4385.18 	4741.45 	5196.03 	5825.3 	6456.35 	7488.05 	8589.38 	10754.21 	12684.32 	13096.37 	12905.18 	13021.57 	13040.9 	13372.49 	13548.35 	13982.03 	14772.96 	15583.76 	17016.39 	18155.58 	17838.79 	18658.6 	: 
A,MIO_EUR,BAL,B5N,SK03	: 	: 	: 	: 	: 	3017.3 	3174.46 	3478.71 	3803.84 	4328.21 	4908.07 	5863.38 	7068.64 	8612.69 	8730.67 	8635.62 	8868.73 	9082.9 	9470.4 	9855.05 	10167.56 	10623.68 	10840.7 	12436.18 	13340.02 	13050.71 	14072.68 	: 
A,MIO_EUR,BAL,B5N,SK04	: 	: 	: 	: 	: 	3203.37 	3268.4 	3698.5 	4071.42 	4409.4 	5050.51 	5604.65 	6979.57 	8385.13 	8679.73 	8939.39 	9068.72 	9620.73 	9664.98 	9915.99 	10262.77 	10746.12 	11114.79 	12097.86 	12917.63 	12907.91 	13794.41 	: 
A,MIO_EUR,BAL,B6N,AT	: 	: 	: 	: 	: 	127877 	130119 	132893 	137637 	142805 	152461 	159699 	167319 	172384 	172401 	173778 	178320 	179494 b	179324 	183648 	185925 	193999 	199787 	206497 	211953 	207379 	214999 	239664 
A,MIO_EUR,BAL,B6N,AT1	: 	: 	: 	: 	: 	56386 	57232 	58414 	60406 	62571 	66578 	69729 	73192 	75293 	75550 	76297 	78254 	78385 b	78086 	79915 	80930 	84471 	86613 	89462 	91681 	89904 	93384 	103726 
A,MIO_EUR,BAL,B6N,AT11	: 	: 	: 	: 	: 	4061 	4175 	4277 	4459 	4746 	5047 	5284 	5565 	5715 	5730 	5820 	5925 	6135 b	6061 	6211 	6365 	6598 	6863 	7064 	7238 	7145 	7467 	8292 
A,MIO_EUR,BAL,B6N,AT12	: 	: 	: 	: 	: 	24821 	25391 	25872 	26822 	27832 	29775 	31325 	33015 	34047 	34129 	34664 	35559 	35818 b	35753 	36571 	36949 	38668 	39511 	40971 	41841 	41171 	42773 	47322 
A,MIO_EUR,BAL,B6N,AT13	: 	: 	: 	: 	: 	27504 	27667 	28265 	29125 	29993 	31756 	33120 	34612 	35532 	35692 	35813 	36769 	36431 b	36272 	37133 	37616 	39204 	40239 	41427 	42602 	41587 	43143 	48112 
A,MIO_EUR,BAL,B6N,AT2	: 	: 	: 	: 	: 	26113 	26662 	27221 	28168 	29134 	31213 	32628 	34236 	35229 	35090 	35428 	36169 	36527 b	36418 	37258 	37648 	39094 	40360 	41690 	42648 	41740 	43349 	48331 
A,MIO_EUR,BAL,B6N,AT21	: 	: 	: 	: 	: 	8282 	8478 	8626 	8939 	9249 	9927 	10328 	10799 	11047 	11023 	11115 	11279 	11417 b	11344 	11579 	11679 	12116 	12488 	12835 	13081 	12816 	13310 	14819 
A,MIO_EUR,BAL,B6N,AT22	: 	: 	: 	: 	: 	17831 	18184 	18595 	19229 	19885 	21286 	22300 	23437 	24182 	24067 	24313 	24890 	25110 b	25074 	25679 	25970 	26978 	27872 	28855 	29566 	28924 	30040 	33512 
A,MIO_EUR,BAL,B6N,AT3	: 	: 	: 	: 	: 	45378 	46225 	47258 	49062 	51100 	54670 	57342 	59891 	61862 	61761 	62053 	63898 	64582 b	64820 	66476 	67347 	70434 	72814 	75345 	77624 	75735 	78266 	87606 
A,MIO_EUR,BAL,B6N,AT31	: 	: 	: 	: 	: 	21312 	21749 	22125 	22934 	23993 	25684 	26954 	28161 	29136 	29013 	29131 	29956 	30237 b	30234 	31014 	31306 	32648 	33800 	35058 	36087 	35280 	36620 	40801 
A,MIO_EUR,BAL,B6N,AT32	: 	: 	: 	: 	: 	8127 	8278 	8441 	8737 	9058 	9719 	10158 	10621 	10979 	10999 	11038 	11332 	11387 b	11447 	11733 	11884 	12462 	12886 	13273 	13643 	13246 	13578 	15309 
A,MIO_EUR,BAL,B6N,AT33	: 	: 	: 	: 	: 	10221 	10414 	10765 	11243 	11669 	12455 	13007 	13593 	14029 	14020 	14101 	14541 	14764 b	14876 	15242 	15490 	16262 	16807 	17401 	17936 	17472 	18022 	20398 
A,MIO_EUR,BAL,B6N,AT34	: 	: 	: 	: 	: 	5717 	5784 	5927 	6148 	6380 	6812 	7223 	7517 	7719 	7729 	7783 	8069 	8194 b	8263 	8487 	8666 	9063 	9322 	9613 	9958 	9738 	10046 	11099 
A,MIO_EUR,BAL,B6N,ATZ	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 b	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MIO_EUR,BAL,B6N,ATZZ	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 b	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,MIO_EUR,BAL,B6N,BE	135254.37 	133063.41 	131546.33 	135678.57 	140762 	147662.3 	155158.1 	156909.6 	158777 	162041.8 	168312 	177105.2 	186496.7 	196617.9 	197033.6 	199102.5 	205068 	210728 	213291.2 	215635.2 	218873.6 	225458.6 	234384.1 	241847.2 	251668.1 	256593 	268785.6 	289473.8 p
A,MIO_EUR,BAL,B6N,BE1	12852.16 	12489.09 	12449.44 	12814.9 	13226.6 	13942.7 	14652 	14710.1 	15058.4 	15298.9 	15627.7 	16487.5 	17507.6 	18444.3 	18588.8 	18975.7 	19464.6 	19942.4 	20207.2 	20323.2 	20665.3 	21849 	22323.2 	23817.6 	24483.3 	25088.3 	25951.6 	27826.5 p
A,MIO_EUR,BAL,B6N,BE10	12852.16 	12489.09 	12449.44 	12814.9 	13226.6 	13942.7 	14652 	14710.1 	15058.4 	15298.9 	15627.7 	16487.5 	17507.6 	18444.3 	18588.8 	18975.7 	19464.6 	19942.4 	20207.2 	20323.2 	20665.3 	21849 	22323.2 	23817.6 	24483.3 	25088.3 	25951.6 	27826.5 p
A,MIO_EUR,BAL,B6N,BE2	81487.95 	80394.51 	79518.45 	82312.14 	85357.7 	89884.7 	94631.3 	95807.3 	96805.6 	98814 	102976.1 	108510.6 	114413.2 	120850.8 	121016.6 	122112.8 	125521.8 	128965.3 	130588.1 	132091.5 	134597.9 	138190.7 	144384.9 	147331.3 	154027.4 	156684.6 	165150.1 	178979.4 p
A,MIO_EUR,BAL,B6N,BE21	22308.08 	22020.33 	21830.29 	22613 	23439.6 	24606.1 	26019.1 	26347.9 	26637.4 	27237.2 	28275.9 	29718.7 	31168.3 	32990.1 	33161.4 	33552.1 	34315.2 	35235.6 	35739.1 	36077.5 	36794.4 	37828.5 	39295.9 	40248.1 	42063.6 	42871.3 	44640.3 	48259.5 p
A,MIO_EUR,BAL,B6N,BE22	9819.02 	9654.63 	9491.82 	9782.11 	10193 	10927.6 	11491.5 	11627 	11806.2 	12059.3 	12704 	13447.4 	14088.1 	14934.9 	15019 	15148 	15667.3 	16112.7 	16307.7 	16428.4 	16670.8 	17235.5 	17872.6 	18335.3 	19158.7 	19513.6 	20551.2 	22155.8 p
A,MIO_EUR,BAL,B6N,BE23	18730.61 	18523.47 	18294.93 	18924.57 	19649.7 	20611.5 	21729.5 	21980.3 	22091.4 	22590.7 	23613.8 	24906.7 	26342.1 	27883.7 	27969.2 	28230.3 	29052.9 	29857.8 	30260.7 	30699.9 	31322.4 	32122.1 	33708 	34207.1 	35835.7 	36544.4 	39419.3 	42716.8 p
A,MIO_EUR,BAL,B6N,BE24	15486.42 	15311.55 	15285.35 	15906.68 	16490.5 	17317.7 	18193.4 	18500.7 	18818.9 	19043 	19766.6 	20856.7 	22002.8 	23061.5 	22940.6 	23033.1 	23676.5 	24315.2 	24483.3 	24801.1 	25307 	26092.2 	27193.2 	28065.6 	29098.1 	29541.4 	31131.1 	33769.3 p
A,MIO_EUR,BAL,B6N,BE25	15143.83 	14884.53 	14616.06 	15085.79 	15584.9 	16421.8 	17197.8 	17351.3 	17451.7 	17883.8 	18615.8 	19581.1 	20812 	21980.6 	21926.4 	22149.3 	22809.9 	23443.9 	23797.3 	24084.5 	24503.4 	24912.4 	26315.2 	26475.2 	27871.4 	28213.9 	29408.1 	32077.9 p
A,MIO_EUR,BAL,B6N,BE3	40914.38 	40179.81 	39578.44 	40551.63 	42177.7 	43834.9 	45874.8 	46392.3 	46913 	47929 	49708.1 	52107.2 	54575.9 	57322.8 	57428.2 	58014 	60081.6 	61820.2 	62495.9 	63220.5 	63610.4 	65418.9 	67675.9 	70698.3 	73157.4 	74820.1 	77683.9 	82668 p
A,MIO_EUR,BAL,B6N,BE31	5127.36 	5067.41 	5099.66 	5288.98 	5527 	5785.4 	6072.7 	6144.3 	6226.6 	6364.6 	6550.8 	6923.1 	7225.8 	7496.8 	7499.3 	7593.8 	7875.8 	8128.9 	8179.4 	8313.9 	8355.4 	8559.7 	8914.7 	9651.3 	9682.9 	9889.4 	10337.2 	10980.5 p
A,MIO_EUR,BAL,B6N,BE32	15127.72 	14792.56 	14487.97 	14802.17 	15287 	15974.7 	16571 	16722.6 	16897.8 	17152.8 	17760.4 	18590.9 	19530.2 	20602.7 	20598 	20798.2 	21423.3 	22063.9 	22249.3 	22414.2 	22394 	22977.5 	23650.2 	24686.7 	25632.3 	26070.4 	27092.4 	28729.1 p
A,MIO_EUR,BAL,B6N,BE33	12357.64 	12198.08 	11953.52 	12204.45 	12769.3 	13136.7 	13765.8 	13933.5 	14022.7 	14431.6 	14910.5 	15543.8 	16260.5 	17136.3 	17295.7 	17359.1 	18025.9 	18487 	18699 	18918.6 	19104.5 	19658.8 	20285 	20878.9 	21838.2 	22387.9 	23077.3 	24602.5 p
A,MIO_EUR,BAL,B6N,BE34	2952.36 	2869.88 	2846.46 	2912.63 	3023.3 	3157.2 	3392.5 	3436.1 	3571.2 	3595 	3866.4 	4020.6 	4170.8 	4398.2 	4361.9 	4439.9 	4611.1 	4743.9 	4862.9 	4950.8 	5063.1 	5253.1 	5532.7 	5695.8 	5955 	6171.5 	6451.6 	7026 p
A,MIO_EUR,BAL,B6N,BE35	5349.3 	5251.87 	5190.83 	5343.41 	5571 	5780.8 	6072.8 	6155.8 	6194.6 	6385 	6620.1 	7028.8 	7388.5 	7688.9 	7673.4 	7823.1 	8145.4 	8396.5 	8505.3 	8623 	8693.3 	8969.8 	9293.3 	9785.5 	10049 	10300.8 	10725.4 	11329.8 p
A,MIO_EUR,BAL,B6N,BEZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p
A,MIO_EUR,BAL,B6N,BEZZ	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 p
A,MIO_EUR,BAL,B6N,BG	: 	: 	: 	: 	: 	9126.31 	9704.75 	11022.91 	11498.65 	12697.23 	14411.81 	16285.45 	18584.97 	22509.8 	23215.54 	23251.18 	24850.8 	25085.34 	25419.82 	25838.54 	26828.4 	28068.53 	30141.29 	33406.23 	34896.21 	35187.76 	37374.54 	: 
A,MIO_EUR,BAL,B6N,BG3	: 	: 	: 	: 	: 	4398.69 	4690.57 	5459.22 	5657.2 	6190.85 	6959.34 	7879.31 	8767.2 	10278.91 	10423.75 	10142.75 	10899.3 	10685.62 	10819.21 	10737.24 	11271.27 	11381.47 	12072.44 	13491.77 	13752.39 	13799.53 	15496.75 	: 
A,MIO_EUR,BAL,B6N,BG31	: 	: 	: 	: 	: 	1001.15 	1072.73 	1176.39 	1243.89 	1339.96 	1432.95 	1610.98 	1974.34 	2210.73 	2239.46 	2127.79 	2113.79 	2069.97 	2180.56 	2209.02 	2224.35 	2227.78 	2281.88 	2613.74 	2772.49 	2792.22 	3178.82 	: 
