freq,unit,direct,na_item,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,EUR_HAB,BAL,B5N,BE31	: 	: 	: 	: 	: 	22600 	23400 	23700 	23300 	23800 	24400 	25300 	26200 	27300 	26600 	27000 	27700 	28400 	28600 	28900 	28900 	29000 	29900 	30900 	31500 	30600 	32400 	34900 p
A,EUR_HAB,BAL,B5N,BE32	: 	: 	: 	: 	: 	14300 	14800 	15000 	15200 	15400 	15900 	16600 	17400 	18200 	17600 	17900 	18400 	18800 	19000 	19100 	19000 	19200 	19800 	20400 	20900 	20300 	21600 	23200 p
A,EUR_HAB,BAL,B5N,BE33	: 	: 	: 	: 	: 	15500 	16100 	16300 	16500 	16900 	17300 	17900 	18700 	19600 	19200 	19300 	19900 	20200 	20500 	20700 	20700 	20900 	21500 	22100 	22700 	22000 	23400 	25300 p
A,EUR_HAB,BAL,B5N,BE34	: 	: 	: 	: 	: 	15200 	16000 	16500 	17200 	17700 	18400 	19700 	20400 	21300 	20500 	20800 	21300 	21800 	22300 	22500 	22600 	22900 	23800 	24300 	25000 	24700 	26000 	28200 p
A,EUR_HAB,BAL,B5N,BE35	: 	: 	: 	: 	: 	16300 	17000 	17300 	17400 	17800 	18500 	19300 	20200 	21100 	20600 	20900 	21600 	22200 	22500 	22700 	22600 	22800 	23500 	24100 	24700 	24200 	25700 	27500 p
A,EUR_HAB,BAL,B5N,BG	: 	: 	: 	: 	: 	1100 	1300 	1400 	1500 	1700 	1900 	2100 	2500 	3000 	2900 	2900 	3200 	3300 	3400 	3500 	3600 	3900 	4300 	4800 	5200 	5200 	5600 	: 
A,EUR_HAB,BAL,B5N,BG3	: 	: 	: 	: 	: 	1000 	1100 	1300 	1400 	1500 	1700 	1900 	2200 	2500 	2300 	2300 	2600 	2500 	2600 	2600 	2800 	2900 	3100 	3600 	3700 	3700 	4300 	: 
A,EUR_HAB,BAL,B5N,BG31	: 	: 	: 	: 	: 	800 	1000 	1000 	1200 	1300 	1300 	1500 	2000 	2100 	2100 	2000 	2100 	2000 	2200 	2300 	2300 	2400 	2500 	3000 	3300 	3400 	3900 	: 
A,EUR_HAB,BAL,B5N,BG32	: 	: 	: 	: 	: 	900 	1200 	1400 	1300 	1500 	1800 	1900 	2200 	2500 	2200 	2200 	2600 	2500 	2500 	2500 	2800 	3000 	3300 	3600 	3900 	4000 	4800 	: 
A,EUR_HAB,BAL,B5N,BG33	: 	: 	: 	: 	: 	1000 	1100 	1200 	1400 	1600 	1800 	2000 	2200 	2500 	2500 	2400 	2700 	2800 	2900 	3100 	3200 	3100 	3100 	3700 	3800 	3800 	4400 	: 
A,EUR_HAB,BAL,B5N,BG34	: 	: 	: 	: 	: 	1000 	1100 	1300 	1500 	1600 	1800 	2100 	2300 	2700 	2600 	2500 	3000 	2700 	2700 	2600 	2800 	3000 	3400 	3800 	3700 	3800 	4100 	: 
A,EUR_HAB,BAL,B5N,BG4	: 	: 	: 	: 	: 	1300 	1400 	1500 	1700 	1900 	2100 	2300 	2800 	3500 	3500 	3600 	3900 	4000 	4100 	4400 	4500 	5000 	5500 	6000 	6600 	6700 	6900 	: 
A,EUR_HAB,BAL,B5N,BG41	: 	: 	: 	: 	: 	1400 	1700 	1800 	1900 	2200 	2400 	2700 	3300 	4100 	4200 	4400 	4600 	5000 	5200 	5500 	5700 	6200 	6900 	7600 	8400 	8500 	8900 	: 
A,EUR_HAB,BAL,B5N,BG42	: 	: 	: 	: 	: 	1100 	1100 	1200 	1300 	1500 	1700 	1800 	2100 	2600 	2500 	2400 	2800 	2600 	2600 	2800 	2800 	3100 	3300 	3700 	3900 	4000 	3800 	: 
A,EUR_HAB,BAL,B5N,CY	: 	: 	: 	: 	: 	9200 	9800 	9700 	10200 	11300 	12500 	13200 	14100 	15300 	15300 	14900 	14900 	14200 	12800 	12600 	12900 	13400 	14200 	15200 	16300 	15800 	17300 	18200 p
A,EUR_HAB,BAL,B5N,CY0	: 	: 	: 	: 	: 	9200 	9800 	9700 	10200 	11300 	12500 	13200 	14100 	15300 	15300 	14900 	14900 	14200 	12800 	12600 	12900 	13400 	14200 	15200 	16300 	15800 	17300 	18200 p
A,EUR_HAB,BAL,B5N,CY00	: 	: 	: 	: 	: 	9200 	9800 	9700 	10200 	11300 	12500 	13200 	14100 	15300 	15300 	14900 	14900 	14200 	12800 	12600 	12900 	13400 	14200 	15200 	16300 	15800 	17300 	18200 p
A,EUR_HAB,BAL,B5N,CZ	: 	: 	: 	: 	: 	3900 	4400 	5100 	5200 	5600 	6300 	7100 	7600 	8900 	8200 	8700 	9100 	9000 	8800 	8600 	9000 	9500 	10700 	11900 	12500 	12100 	13200 	15000 
A,EUR_HAB,BAL,B5N,CZ0	: 	: 	: 	: 	: 	3900 	4400 	5100 	5200 	5600 	6300 	7100 	7600 	8900 	8200 	8700 	9100 	9000 	8800 	8600 	9000 	9500 	10700 	11900 	12500 	12100 	13200 	15000 
A,EUR_HAB,BAL,B5N,CZ01	: 	: 	: 	: 	: 	5400 	6200 	7400 	7700 	8100 	9100 	10400 	11000 	12500 	11500 	12600 	13000 	12500 	12300 	11900 	12300 	13000 	15400 	16700 	16900 	16400 	18600 	20500 
A,EUR_HAB,BAL,B5N,CZ02	: 	: 	: 	: 	: 	4100 	4600 	5600 	5800 	6100 	6800 	7700 	8400 	9500 	9000 	9700 	10100 	10400 	9800 	9400 	9700 	10600 	11400 	12900 	13700 	12600 	13900 	15900 
